lcd_id,lcd_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
38560,6,1,1,"https://www.palmettogba.com/palmetto/providers.nsf/docsr/Providers~JJ%20Part%20B~Medical%20Policies~Open%20Meetings","Open Meeting",1,2020-04-17 15:31:45.960000000,""
38565,6,1,1,"http://","",1,2020-04-17 15:33:42.363000000,""
38567,4,1,1,"http://","",1,2020-04-17 15:32:47.970000000,""
38569,7,1,1,"https://www.palmettogba.com/palmetto/providers.nsf/docscat/Providers~JM%20Part%20B~Medical%20Policies~Open%20Meetings","Open Meeting",1,2020-04-17 15:30:48.830000000,""
38575,3,1,1,"https://www.palmettogba.com/palmetto/providers.nsf/docscat/Providers~JM%20Part%20B~Medical%20Policies~Open%20Meetings","Open Meeting",1,2020-04-17 15:34:24.733000000,""
38581,3,1,1,"http://","",1,2020-05-18 13:42:59.297000000,""
38583,3,1,1,"http://","",1,2020-05-18 13:43:48.340000000,""
38585,3,1,1,"https://www.palmettogba.com/palmetto/providers.nsf/docscat/Providers~JM%20Part%20B~Medical%20Policies~Open%20Meetings","Open Meeting",1,2020-05-18 13:44:24.650000000,""
38587,3,1,1,"http://","",1,2020-05-18 13:46:15.100000000,""
38588,4,1,1,"http://","",1,2020-05-18 13:41:42.493000000,""
38612,5,1,1,"http://","",1,2020-05-01 19:04:47.843000000,""
38614,5,1,1,"http://","",1,2020-05-01 19:05:31.160000000,""
38628,4,1,1,"https://med.noridianmedicare.com/web/jea/policies/lcd/open","Open Meeting",1,2020-05-14 19:13:14.907000000,"Open Public Meeting"
38630,4,1,1,"http://med.noridianmedicare.com/web/jeb/policies/lcd/open","Open Public Meeting",1,2020-05-14 17:44:20.280000000,"Open Public Meeting Details"
38631,4,1,1,"http://med.noridianmedicare.com/web/jeb/policies/lcd/open","Open Public Meeting",1,2020-05-14 14:46:57.653000000,"Open Public Meeting Details"
38632,3,1,1,"http://med.noridianmedicare.com/web/jfb/policies/lcd/open","Open Public Meeting",1,2020-05-14 19:09:21.183000000,"Open Public meeting Details"
38633,3,1,1,"http://med.noridianmedicare.com/web/jfb/policies/lcd/open","Open Public Meeting",1,2020-05-14 15:17:41.750000000,"Open Public Meeting Details"
38642,4,1,1,"http://","",1,2020-05-14 15:51:38.410000000,""
38644,4,1,1,"http://","",1,2020-05-14 15:56:04.100000000,""
38646,6,1,1,"https://med.noridianmedicare.com/web/jeb/policies/lcd/open","Open Meeting",1,2020-05-14 17:25:01.467000000,"Open Meeting Details"
38648,5,1,1,"https://med.noridianmedicare.com/web/jfb/policies/lcd/open","Open Meeting",1,2020-05-14 17:30:10.763000000,"Open Meeting Details"
38670,4,1,1,"https://med.noridianmedicare.com/web/jfa/policies/lcd/open","Open Public",1,2020-05-14 19:24:29.627000000,"Open Public Meeting"
38674,3,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings ",1,2020-05-20 16:53:09.960000000,""
38674,3,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting",2,2020-05-20 16:53:09.960000000,""
38675,3,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings",1,2020-05-20 15:36:46.493000000,""
38675,3,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting ",2,2020-05-20 15:36:46.497000000,""
38677,2,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings ",1,2020-05-20 11:59:17.857000000,""
38677,2,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting ",2,2020-05-20 11:59:17.860000000,""
38679,2,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings ",1,2020-05-19 18:36:38.507000000,""
38679,2,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting ",2,2020-05-19 18:36:38.507000000,""
38683,2,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings",1,2020-05-20 13:55:30.240000000,""
38683,2,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting ",2,2020-05-20 13:55:30.243000000,""
38736,6,1,1,"http://","",1,2020-08-28 15:22:51.247000000,""
38770,7,1,1,"http://","",1,2020-09-11 22:56:00.200000000,""
38778,7,1,1,"http://","",1,2020-09-18 14:42:41.233000000,""
38788,21,1,1,"http://www.cgsmedicare.com/partb/medicalpolicy/lcd_discussion_recordings.html","Multijurisdictional CAC Meeting",1,2020-09-16 21:20:28.297000000,""
38800,8,1,1,"http://","",1,2020-09-18 23:40:34.497000000,""
38802,6,1,1,"http://","",1,2020-09-19 02:14:36.953000000,""
38813,4,1,1,"http://","",1,2020-09-23 16:12:59.863000000,""
38815,3,1,1,"http://","",1,2020-09-23 16:14:12.893000000,""
38821,3,1,1,"http://","",1,2020-09-24 14:21:09.507000000,""
38834,2,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings",1,2020-09-22 19:54:21.110000000,""
38834,2,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting",2,2020-09-22 19:54:21.113000000,""
38836,2,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings ",1,2020-09-23 14:55:57.590000000,""
38836,2,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting",2,2020-09-23 14:55:57.590000000,""
38838,2,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings",1,2020-09-23 15:43:21.487000000,""
38838,2,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting",2,2020-09-23 15:43:21.487000000,""
38840,2,1,1,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/open-meetings/","WPS Open Meetings ",1,2020-09-23 16:42:43.070000000,""
38840,2,1,2,"https://www.wpsgha.com/wps/portal/mac/site/policies/guides-and-resources/cac-meetings/","WPS CAC Meeting ",2,2020-09-23 16:42:43.070000000,""
38842,33,1,1,"http://","",1,2020-10-23 11:41:57.547000000,""
38845,17,1,1,"http://","",1,2020-10-23 11:44:13.763000000,""
38849,8,1,1,"http://","",1,2020-10-23 13:45:04.647000000,""
38850,9,1,1,"http://","",1,2020-10-23 13:46:27.080000000,""
38853,7,1,1,"http://","",1,2021-01-27 12:25:02.857000000,""
38876,10,1,1,"http://","",1,2021-01-08 14:47:35,""
38877,4,1,1,"http://","",1,2021-01-08 14:48:18.250000000,""
38897,8,1,1,"http://","",1,2020-12-11 14:35:17.813000000,""
38900,8,1,1,"http://","",1,2020-12-10 19:29:42.550000000,""
38901,11,1,1,"https://med.noridianmedicare.com/web/jeb/policies/lcd/open","Wound Care Open Public Meeting",1,2021-01-22 22:36:55.870000000,""
38903,5,1,1,"https://med.noridianmedicare.com/web/jfb/policies/lcd/open","Wound Care Open Public Meeting",1,2021-01-22 23:04:24.767000000,""
38912,7,1,1,"http://","",1,2021-01-08 15:54:10.850000000,""
38913,6,1,1,"http://","",1,2021-01-08 15:55:41.960000000,""
38915,7,1,1,"http://","",1,2021-01-08 14:51:27.683000000,""
38917,7,1,1,"http://","",1,2021-01-08 14:52:31.293000000,""
38919,6,1,1,"http://","",1,2021-02-03 13:07:21.910000000,""
38921,16,1,1,"http://","",1,2021-01-08 19:41:16.373000000,""
38922,16,1,1,"http://","",1,2021-01-08 19:38:35.397000000,""
38925,6,1,1,"http://","",1,2021-01-08 19:39:57.390000000,""
38927,11,1,1,"http://","",1,2021-01-08 19:52:31.270000000,""
38928,18,1,1,"http://","",1,2021-01-08 19:44:34.327000000,""
38931,10,1,1,"http://","",1,2021-01-08 19:45:36.290000000,""
38936,5,1,1,"http://","",1,2021-01-27 12:19:06.207000000,""
38940,5,1,1,"http://","",1,2021-01-27 21:51:28.280000000,""
38949,7,1,1,"http://","",1,2021-02-18 13:13:03.783000000,""
38950,8,1,1,"http://","",1,2021-02-19 15:46:26.263000000,""
38951,8,1,1,"http://","",1,2021-02-19 15:33:45.947000000,""
38952,9,1,1,"http://","",1,2021-02-19 16:31:32.003000000,""
38954,10,1,1,"http://","",1,2021-02-19 14:46:13.373000000,""
38965,3,1,1,"https://www.palmettogba.com/Palmetto/Providers.nsf/docscat/Providers~JM%20Part%20B~Medical%20Policies~Open%20Meetings","Open Meeting Information",1,2021-05-14 16:52:01.233000000,""
38967,4,1,1,"http://","",1,2021-05-26 12:15:31.933000000,""
38969,3,1,1,"https://www.palmettogba.com/palmetto/providers.nsf/docsr/Providers~JJ%20Part%20A~Medical%20Policies~Open%20Meetings","Open Meeting Information",1,2021-05-14 15:44:29.620000000,""
38971,4,1,1,"https://med.noridianmedicare.com/web/jeb/policies/lcd/open","Open Meeting Information",1,2021-05-13 00:35:47.593000000,""
38973,4,1,1,"https://med.noridianmedicare.com/web/jfb/policies/lcd/open","Open Meeting Information",1,2021-05-13 01:20:53.010000000,""
38979,4,1,1,"http://","",1,2021-05-14 15:45:17.487000000,""
38984,7,1,1,"http://","",1,2021-05-14 16:47:16.760000000,""
38986,5,1,1,"https://www.palmettogba.com/palmetto/jja.nsf/DID/B7ML2F1563","Open Meeting Information",1,2021-05-14 16:54:58.760000000,""
38987,11,1,1,"https://www.palmettogba.com/palmetto/jmb.nsf/DID/B7ML3E2571","Open Meeting",1,2021-05-14 16:48:22.950000000,""
38987,11,1,2,"https://www.palmettogba.com/palmetto/jmb.nsf/DID/B7ML3E2571","CAC Meeting",2,2021-05-14 16:48:22.950000000,""
38991,5,1,1,"http://","",1,2021-06-15 19:54:50.867000000,""
38993,7,1,1,"http://","",1,2021-05-14 15:43:53.110000000,""
38995,4,1,1,"http://","",1,2021-06-16 13:58:48.930000000,""
38996,5,1,1,"http://","",1,2021-06-16 13:56:52.050000000,""
38998,4,1,1,"https://med.noridianmedicare.com/web/jeb/policies/lcd/open","Open Public Meeting",1,2021-05-11 22:02:31.647000000,""
38999,3,1,1,"https://med.noridianmedicare.com/web/jfb/policies/lcd/open","Open Public Meeting",1,2021-05-11 22:16:34.210000000,""
39000,3,1,1,"https://med.noridianmedicare.com/web/jeb/policies/lcd/open","Open Meeting Information",1,2021-05-13 22:24:54.410000000,""
39002,3,1,1,"https://med.noridianmedicare.com/web/jfb/policies/lcd/open","Open Meeting",1,2021-05-14 06:44:43.240000000,""
